!  Einasto_rs0.035_rhos24.682_alpha0.16_rtrunc33.txt
! R    D    M    P
2000
4.980794793047723e-05 86166.8192198643 5.592270814983358e-08 -1.7374162295383222
5.011295067742867e-05 85798.81839201078 5.674528472356112e-08 -1.737409345972697
5.041982113183481e-05 85432.03188961322 5.757948561078791e-08 -1.7374024036959566
5.0728570730743705e-05 85066.45723546251 5.8425471541347045e-08 -1.7373954022648916
5.1039210981239346e-05 84702.09195189897 5.9283405412920133e-08 -1.7373883412330464
5.135175346087023e-05 84338.93356083054 6.015345231944623e-08 -1.7373812201507024
5.1666209818080536e-05 83976.97958375352 6.103577957989062e-08 -1.7373740385648537
5.1982591772644896e-05 83616.2275417702 6.19305567673806e-08 -1.7373667960191896
5.2300911116104855e-05 83256.6749556087 6.283795573870709e-08 -1.7373594920540727
5.262117971220805e-05 82898.31934564284 6.375815066419977e-08 -1.7373521262065184
5.2943409497351e-05 82541.15823190936 6.469131805798237e-08 -1.7373446980101737
5.3267612481023645e-05 82185.18913412905 6.563763680860768e-08 -1.7373372069952968
5.359380074625663e-05 81830.4095717249 6.659728821007931e-08 -1.7373296526887356
5.392198645007226e-05 81476.8170638409 6.757045599326811e-08 -1.7373220346139073
5.425218182393734e-05 81124.40912936171 6.855732635772208e-08 -1.7373143522907752
5.458439917421859e-05 80773.18328693135 6.955808800387713e-08 -1.7373066052358301
5.491865088264209e-05 80423.13705497282 7.057293216567725e-08 -1.7372987929620654
5.525494940675433e-05 80074.2679517059 7.160205264360235e-08 -1.7372909149789588
5.559330728038619e-05 79726.57349516767 7.264564583811193e-08 -1.7372829707924484
5.593373711412078e-05 79380.05120323031 7.370391078351302e-08 -1.7372749599049115
5.6276251595763044e-05 79034.6985936206 7.477704918225063e-08 -1.7372668818151427
5.662086349081233e-05 78690.51318393878 7.586526543962967e-08 -1.7372587360183314
5.696758564293884e-05 78347.49249167737 7.696876669897609e-08 -1.7372505220060401
5.731643097446196e-05 78005.63403424065 7.808776287723665e-08 -1.7372422392661826
5.766741248683153e-05 77664.9353289626 7.922246670102521e-08 -1.7372338872829993
5.8020543261113094e-05 77325.39389312633 8.037309374312495e-08 -1.7372254655370372
5.837583645847512e-05 76987.00724398314 8.153986245944486e-08 -1.7372169735051257
5.87333053206791e-05 76649.77289877117 8.272299422643915e-08 -1.7372084106603547
5.909296317057397e-05 76313.68837473358 8.392271337899967e-08 -1.7371997764720513
5.945482341259162e-05 75978.75118913878 8.513924724881655e-08 -1.737191070405757
5.9818899533247405e-05 75644.95885929777 8.637282620322506e-08 -1.7371822919232036
6.018520510164234e-05 75312.30890258358 8.762368368453412e-08 -1.7371734404822914
6.0553753769968515e-05 74980.79883645038 8.889205624984653e-08 -1.737164515537065
6.0924559274018605e-05 74650.42617845134 9.01781836113805e-08 -1.7371555165376895
6.129763543369749e-05 74321.1884462576 9.148230867729087e-08 -1.7371464429304282
6.167299615353684e-05 73993.0831576778 9.280467759299953e-08 -1.7371372941576175
6.205065542321425e-05 73666.10783067552 9.414553978304598e-08 -1.7371280696576437
6.24306273180741e-05 73340.25998338831 9.550514799345492e-08 -1.7371187688649188
6.281292599965184e-05 73015.53713414725 9.688375833463239e-08 -1.7371093912098565
6.319756571620256e-05 72691.93680149387 9.828163032479981e-08 -1.737099936118849
6.358456080323159e-05 72369.45650419974 9.969902693396489e-08 -1.7370904030142396
6.397392568402845e-05 72048.09376128555 1.0113621462843934e-07 -1.7370807913143032
6.436567487020528e-05 71727.84609203828 1.02593463415915e-07 -1.7370711004332164
6.475982296223665e-05 71408.71101603052 1.0407104689109288e-07 -1.7370613297810367
6.515638465000468e-05 71090.68605313929 1.0556924228188633e-07 -1.7370514787636764
6.5555374713346e-05 70773.76872356307 1.0708833049619271e-07 -1.7370415467828768
6.595680802260239e-05 70457.95654784249 1.0862859616924585e-07 -1.7370315332361848
6.636069953917566e-05 70143.24704687616 1.1019032771155964e-07 -1.7370214375169262
6.676706431608488e-05 69829.63774194119 1.1177381735746167e-07 -1.7370112590141815
6.717591749852704e-05 69517.12615471055 1.1337936121422802e-07 -1.73700099711276
6.758727432444231e-05 69205.70980727137 1.1500725931183111e-07 -1.7369906511931748
6.800115012508152e-05 68895.38622214335 1.1665781565329818e-07 -1.7369802206316156
6.841756032557718e-05 68586.1529222977 1.1833133826569293e-07 -1.7369697047999255
6.883652044551916e-05 68278.00743117424 1.200281392517318e-07 -1.7369591030655724
6.925804609953275e-05 67970.94727270046 1.2174853484203335e-07 -1.7369484147916245
6.968215299786015e-05 67664.96997130969 1.2349284544801259e-07 -1.7369376393367242
7.010885694694682e-05 67360.07305195899 1.2526139571543304e-07 -1.736926776055061
7.053817385003022e-05 67056.25404014702 1.2705451457861443e-07 -1.7369158242963456
7.097011970773203e-05 66753.51046193334 1.2887253531530825e-07 -1.7369047834057836
7.140471061865543e-05 66451.83984395515 1.3071579560225508e-07 -1.7368936527240486
7.184196277998455e-05 66151.23971344606 1.3258463757142013e-07 -1.7368824315872542
7.228189248808784e-05 65851.7075982542 1.3447940786692132e-07 -1.7368711193269304
7.272451613912618e-05 65553.2410268602 1.3640045770266285e-07 -1.7368597152699923
7.316985022966361e-05 65255.837528394484 1.383481429206716e-07 -1.7368482187387166
7.361791135728171e-05 64959.49463265651 1.403228240501505e-07 -1.7368366290507118
7.4068716221199e-05 64664.209870131665 1.4232486636726228e-07 -1.736824945518893
7.452228162289299e-05 64369.980772009316 1.4435463995564185e-07 -1.7368131674514513
7.497862446672582e-05 64076.8048702015 1.4641251976765003e-07 -1.7368012941518298
7.543776176057524e-05 63784.67969735958 1.4849888568638467e-07 -1.7367893249186928
7.589971061646803e-05 63493.60278689269 1.5061412258844548e-07 -1.7367772590458992
7.636448825121729e-05 63203.571672986145 1.5275862040746684e-07 -1.7367650958224756
7.683211198706525e-05 62914.583890617585 1.5493277419843597e-07 -1.736752834532585
7.730259925232751e-05 62626.636975576585 1.5713698420278613e-07 -1.7367404744555015
7.77759675820438e-05 62339.72846448077 1.59371655914297e-07 -1.7367280148655801
7.8252234618631e-05 62053.855894794295 1.6163720014579284e-07 -1.736715455032229
7.873141811254014e-05 61769.016804845596 1.6393403309665456e-07 -1.7367027942198812
